11:54:00.226 [MainThread] INFO    thonny: Thonny version: 4.1.3
11:54:00.227 [MainThread] INFO    thonny: cwd: /home/pi
11:54:00.227 [MainThread] INFO    thonny: original argv: ['/usr/bin/python3', '/usr/bin/thonny', '/home/pi/Desktop/script.py']
11:54:00.228 [MainThread] INFO    thonny: sys.executable: /usr/bin/python3
11:54:00.228 [MainThread] INFO    thonny: sys.argv: ['/usr/bin/thonny', '/home/pi/Desktop/script.py']
11:54:00.228 [MainThread] INFO    thonny: sys.path: ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/home/pi/.local/lib/python3.11/site-packages', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
11:54:00.228 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=0, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
11:54:00.329 [MainThread] INFO    thonny.workbench: Starting Workbench
11:54:00.536 [MainThread] INFO    thonny.workbench: Creating runner
11:54:00.541 [MainThread] INFO    thonny.workbench: Start loading plugins
11:54:00.667 [MainThread] INFO    thonny.workbench: Done loading plugins
11:54:01.018 [MainThread] INFO    thonny.workbench: Opening views
11:54:02.068 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
11:54:02.069 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
11:54:12.017 [MainThread] INFO    thonny: TIME/MODS 11.798 Before Run (+137 modules)
